1,-1.82,-0.98
1,0.62,1.50
3,0.60,0.63
1,1.31,0.38
3,-0.55,0.08
2,1.05,-2.80
1,-0.75,1.85
2,-0.43,-0.89
1,-1.88,-0.68
1,0.71,1.49
2,0.29,-2.96
3,-0.97,-0.12
2,-0.27,-2.42
3,-0.04,-0.26
3,0.49,0.15
3,-0.71,-0.71
3,-0.42,-0.28
1,-0.77,2.03
3,-0.06,-1.72
1,-1.71,0.95
3,0.13,-0.31
3,-0.81,-1.72
1,-0.19,2.07
3,-0.23,-1.00
2,0.79,-1.74
2,1.27,-2.28
2,1.58,-2.55
3,0.45,-0.39
1,-1.79,1.03
3,-1.22,-1.90
1,-1.71,-0.68
3,-0.39,0.36
3,0.41,0.58
2,1.11,-2.07
2,1.40,-1.09
2,0.88,-2.19
2,-0.07,-3.28
2,0.35,-2.41
2,0.28,-2.57
3,0.33,-0.60
2,1.57,-0.15
3,-0.44,-0.22
3,-0.73,-1.49
1,1.24,1.58
1,0.90,1.40
2,0.96,-1.81
2,-0.21,-2.39
2,0.81,-1.98
3,-0.12,-1.26
3,1.38,0.55
3,0.32,-0.79
3,-0.84,-2.14
1,1.60,1.11
1,1.91,-1.07
3,0.43,-0.02
1,0.34,1.92
1,2.33,0.64
1,-1.72,-1.26
1,-2.13,0.41
2,1.29,-1.51
2,-0.62,-2.19
3,-0.39,-1.13
2,1.95,-0.95
3,0.01,0.17
3,0.81,0.61
3,-0.50,-0.55
1,1.30,1.20
1,-0.77,1.15
1,1.83,0.92
3,0.82,-1.48
2,1.58,-0.93
1,0.12,1.97
3,-0.71,-0.68
2,1.53,-1.53
1,-1.39,1.02
2,1.13,-2.97
1,-0.85,2.13
2,1.29,-2.29
2,0.32,-1.84
1,0.27,2.05
1,0.39,-2.02
2,0.48,-2.98
3,-0.01,-0.89
2,1.96,-1.96
2,1.89,-0.77
3,0.02,0.25
1,1.86,1.27
1,1.61,0.94
3,-0.50,-0.99
3,0.87,-0.34
2,0.23,-1.46
2,0.39,-2.23
2,0.88,-2.25
1,-1.11,2.55
1,-2.03,0.92
2,0.96,-2.55
3,0.74,0.18
3,-0.26,-1.43
2,0.34,-1.60
3,-0.38,-0.10
1,-1.64,-1.32
1,-1.61,0.30
3,-1.41,-1.12
1,-1.25,2.57
2,1.30,-3.24
2,-0.02,-2.85
1,-2.13,0.14
1,-1.48,0.79
3,0.23,-0.30
3,0.26,-0.44
1,1.03,1.97
1,-1.68,1.10
3,0.70,0.04
1,1.14,1.60
2,0.69,-1.37
1,0.06,1.84
2,2.53,-0.50
3,0.96,1.20
3,-0.32,-0.03
3,0.41,-0.15
3,1.59,-0.78
3,0.26,0.16
2,1.10,-1.56
1,1.96,0.92
2,1.59,-1.94
1,1.35,1.34
2,0.21,-1.05
1,1.09,1.87
1,-1.87,0.67
3,-0.02,-0.05
1,1.29,1.16
2,1.88,-1.09
3,0.98,0.60
3,-0.64,-0.86
3,-0.85,-1.18
1,-2.13,-0.23
3,0.40,-0.02
1,-1.58,-0.60
1,0.85,1.78
2,1.46,-1.38
3,-0.02,0.49
1,1.53,-1.21
3,0.07,-0.64
1,-1.34,1.06
2,0.48,-1.50
2,1.89,-1.94
3,0.93,-1.25
1,-1.49,1.02
1,-1.73,1.03
2,0.11,-2.45
