1,73.90
1,49.11
1,78.85
0,50.07
1,72.71
1,57.64
0,37.81
0,49.15
0,27.97
1,74.96
0,31.26
0,21.06
1,59.10
1,81.75
0,38.68
1,51.29
1,40.17
0,21.12
1,65.64
1,83.90
1,67.11
0,49.63
0,36.15
0,60.91
0,38.45
0,30.19
1,73.12
1,65.03
1,71.47
1,81.15
1,65.13
1,56.64
1,53.97
0,43.51
1,77.16
1,45.54
1,55.07
1,73.44
0,46.79
0,38.81
1,58.83
1,64.47
0,39.14
0,51.93
1,78.62
1,77.86
1,74.58
1,82.15
1,42.26
1,80.81
0,21.25
1,41.72
0,60.33
0,21.37
1,80.74
1,54.87
1,62.48
0,40.62
1,52.71
0,60.02
1,52.11
0,44.04
0,34.34
1,61.44
0,32.08
1,54.34
0,40.90
1,79.83
0,53.79
1,60.71
1,51.99
1,88.92
1,77.63
1,51.47
1,69.57
0,46.29
0,47.74
1,69.33
1,50.86
1,53.50
1,83.16
1,90.90
1,95.19
0,41.97
0,39.84
0,23.40
0,47.67
1,58.82
1,51.56
0,53.72
1,63.38
0,27.31
1,55.64
1,42.71
0,31.00
1,77.86
0,35.54
1,72.89
0,41.26
0,43.81
